Distance between Race Boats
Time(s)          Distance(m)
97.2                 26.772
97.4                 26.355
97.6                 25.948
97.8                 25.538
98.0                 25.121
98.2                 24.642
98.4                 24.233
98.6                 23.841
98.8                 23.453
99.0                 23.124
99.2                 22.749
99.4                 22.452
99.6                 22.180
99.8                 21.960
100.0                 21.788
100.2                 21.632
100.4                 21.538
100.6                 21.480
100.8                 21.425
101.0                 21.394
101.2                 21.349
101.4                 21.362
101.6                 21.393
101.8                 21.443
102.0                 21.515
102.2                 21.576
102.4                 21.693
102.6                 21.812
102.8                 21.946
103.0                 22.076
103.2                 22.204
103.4                 22.373
103.6                 22.538
103.8                 22.728
104.0                 22.933
104.2                 23.121
104.4                 23.349
104.6                 23.575
104.8                 23.815
105.0                 24.013
105.2                 24.178
105.4                 24.375
105.6                 24.525
105.8                 24.677
106.0                 24.795
106.2                 24.908
106.4                 25.059
106.6                 25.191
106.8                 25.296
107.0                 25.399
107.2                 25.497
107.4                 25.624
107.6                 25.746
107.8                 25.851
108.0                 25.945
108.2                 26.002
108.4                 26.076
108.6                 26.098
108.8                 26.083
109.0                 26.006
109.2                 25.853
109.4                 25.695
109.6                 25.475
109.8                 25.225
110.0                 24.945
110.2                 24.628
110.4                 24.330
110.6                 24.018
110.8                 23.711
111.0                 23.393
111.2                 23.065
111.4                 22.724
111.6                 22.383
111.8                 22.037
112.0                 21.684
112.2                 21.324
112.4                 20.768
112.6                 20.407
112.8                 20.022
113.0                 19.650
113.2                 19.230
113.4                 18.801
113.6                 18.342
113.8                 17.856
114.0                 17.349
114.2                 16.917
114.4                 16.505
114.6                 16.147
114.8                 15.843
115.0                 15.627
115.2                 15.467
115.4                 15.308
115.6                 15.173
115.8                 15.054
116.0                 14.966
116.2                 14.904
116.4                 14.862
116.6                 14.834
116.8                 14.802
117.0                 14.817
117.2                 14.873
117.4                 14.922
117.6                 14.966
117.8                 15.019
118.0                 15.127
118.2                 15.302
118.4                 15.472
118.6                 15.659
118.8                 15.824
119.0                 15.960
119.2                 16.116
119.4                 16.221
119.6                 16.348
119.8                 16.476
120.0                 16.662
120.2                 16.898
120.4                 17.120
120.6                 17.383
120.8                 17.661
121.0                 17.922
121.2                 18.199
121.4                 18.452
121.6                 18.669
121.8                 18.905
122.0                 19.120
122.2                 19.356
122.4                 19.583
122.6                 19.816
122.8                 20.085
123.0                 20.395
123.2                 20.750
123.4                 21.090
123.6                 21.383
123.8                 21.643
124.0                 21.850
124.2                 22.072
124.4                 22.262
124.6                 22.429
124.8                 22.601
125.0                 22.788
125.2                 22.978
125.4                 23.148
125.6                 23.321
125.8                 23.476
126.0                 23.597
126.2                 23.744
126.4                 23.802
126.6                 23.913
126.8                 24.016
127.0                 24.165
127.2                 24.370
127.4                 24.585
127.6                 24.770
127.8                 24.937
128.0                 25.063
128.2                 25.148
128.4                 25.166
128.6                 25.128
128.8                 25.086
129.0                 25.022
129.2                 24.952
129.4                 24.903
129.6                 24.873
129.8                 24.860
130.0                 24.909
130.2                 25.008
130.4                 25.151
130.6                 25.412
130.8                 25.718
131.0                 26.032
131.2                 26.292
131.4                 26.460
131.6                 26.598
131.8                 26.782
132.0                 26.981
The 175 boats are within 27m of each other at 661 timesteps
